Material,Quantity,Frequency,Description,Location
0RF0161,9475.0,1.4960629921259843,COCACOLA LATA33 C24 (SIN HC8),600-004-10
0LT0235,1692.0,1.4803149606299213,LA LEVANTINA AVENA ESP.HOST 1L 6U,600-006-10
0RF0187,10777.0,1.4593175853018372,COCACOLA ZER LATA33 C24 (SIN HC8),600-007-10
0LT0090,1148.0,1.2755905511811023,LETONA SEMI SIN LACTOSA 1L PET 6U,600-008-10
ED13LT,1594.0,1.2598425196850394,ESTRELLA DAMM 1/3 LATA,600-009-10
EC13P6,929.0,1.1338582677165354,DAURA DAMM 1/3 SR PACK CESTA ABIERTA 6U.,600-011-10
0LT0034,2542.0,1.041994750656168,"LETONA SEMI ESPEC HOSTELERIA PET 1,5L 6U",600-012-10
0ZU0020,686.0,1.0183727034120735,GRANINI MELOCOTON  20CL 24U,600-013-10
0ZU0024,680.0,1.010498687664042,GRANINI PIÑA 20CL 24U,600-017-10
0LT0036,729.0,0.9238845144356955,CACAOLAT VIDRIO 20CL SR 24U,600-019-10
FTI15B24,1703.0,0.9212598425196851,FEVERTREE INDIAN TONIC 1/5 BAND-24U.,600-020-10
0LT0412,1763.0,0.9002624671916011,"CACAOLAT ORIGINAL 27,5CL PET 24U",600-021-10
0AM3565,1792.0,0.8871391076115486,BARGALLO ACEITE GOURMET SOL GIRASOL 20L,600-022-10
NTL13LT6,2478.0,0.8713910761154856,NESTEA LIMON 1/3 LATA 4U-PACK 6U.,600-023-10
0RF0019,974.0,0.8556430446194225,/-COCA COLA LATA 33CL 24U,600-024-10
0VE0524,875.0,0.8451443569553806,SEÑORIO DE LIZIA VERDEJO RUEDA 75CL 6U,600-025-10
0RF0115,824.0,0.8346456692913385,AQUARIUS LATA33 C24,600-026-10
0RF0508,720.0,0.8162729658792651,FANTA NAR LATA33 24U (SIN HC8),600-027-10
0RF0252,2982.0,0.7611548556430446,COCACOLA PET50 C24 (SIN HC4) PINCODE,600-028-10
0RF0079,985.0,0.7454068241469817,/-COCA COLA ZERO LATA 33CL 24U,600-029-10
0ZU0021,408.0,0.7349081364829396,GRANINI NARANJA 20CL 24U,600-030-10
0AM5080,911.0,0.7270341207349081,CACAOLAT PASTELITOS 20U,600-031-10
0RF0080,5373.0,0.7034120734908137,COCACOLA ZER PET50 C24 (SIN HC4)PINCODE,600-032-10
0LT0103,836.0,0.6850393700787402,YOSOY AVENA BARISTA 1L BRIK 6U,600-033-10
NTL13B24,600.0,0.6587926509186351,NESTEA LIMON 1/3 SR BANDEJA 24U. P.HT,600-034-10
0AG0310,1007.0,0.6535433070866141,VICHY CATALAN GAS 30CL SR 24U,600-035-10
0RF1646,823.0,0.6430446194225722,FUZE LIM LATA33 CCO8 C24,600-036-10
0RF0114,472.0,0.6325459317585301,FANTA LIM LATA33 C24,600-037-10
0LT0035,594.0,0.6299212598425197,"LETONA DESNATADA 0% HOST 1,5L PET 6U",600-038-10
0AM3864,480.0,0.6299212598425197,FRIMASOL ACEITE GIRASOL 25L,600-039-10
0LT0234,367.0,0.6246719160104987,LA LEVANTINA SOJA ESPECIAL HOST 1L 6U,600-040-10
0RF0332,697.0,0.6089238845144357,ZALA GASEOSA 50CL S/R 12U,600-041-10
0RF0296,1036.0,0.6062992125984252,RED BULL ENERGY DRINK 25CL LATA 24U,600-042-10
0CF0080,1243.0,0.5853018372703412,XPLICIT NATURAL CREMOSO 1KG,600-043-10
0RF0287,554.0,0.5695538057742782,/-COCA COLA VR237 24U,600-044-10
0AG0107,3000.0,0.5616797900262467,EUROACQUA NATURAL 8L GARRAFA 1U,600-045-10
0RF0445,511.0,0.5433070866141733,GEISER LIMONADA 2L SR 6U,600-046-10
0VE0506,1050.0,0.5380577427821522,HALLAZGO JOVEN 75CL 6U,600-047-10
FTB15B24,619.0,0.5354330708661418,FEVERTREE GINGER BEER 1/5 BANDEJA 24U.,600-048-10
0RF0048,417.0,0.5328083989501312,COCACOLA PET2L C6,620-001-10
0RF0053,603.0,0.5223097112860893,NORDIC MIST TON VR20 C24,620-002-10
0AG0014,3088.0,0.5196850393700787,AQUABONA PET50 C24,620-003-10
0RF0112,1385.0,0.5196850393700787,COCACOLA LATA33 C24,620-004-10
0RF0181,778.0,0.5144356955380578,SPRITE VR20 C24,620-005-10
0RF0173,490.0,0.5118110236220472,FANTA LIM PET2L C6,620-006-10
CM13P6,321.0,0.5091863517060368,COMPLOT 1/3 SR PACK CESTA ABIERTA 6U.,620-007-10
0AM1634,292.0,0.49868766404199477,XPLICIT EDULCORANTE 1G 150U,620-008-10
0RF0489,367.0,0.49081364829396323,SCHWEPPES TONICA 20CL SR 24U,620-009-10
0RF0059,632.0,0.4881889763779528,AQUARIUS PET50 C24,620-010-10
0AM1290,282.0,0.4881889763779528,XPLICIT AZUCAR 7GR  1000U,620-011-10
FD13LT,259.0,0.48556430446194226,FREE DAMM 1/3 LATA LC,620-012-10
0RF0199,306.0,0.4540682414698163,COCACOLA ZER ZER VR35 C24,620-013-10
0RF0022,261.0,0.45144356955380577,/-AQUARIUS LIMON 33CL LATA 24U,620-014-10
ED13SR,4028.0,0.4409448818897638,ESTRELLA DAMM 1/3 SIN RETORNO,620-015-10
VE51SP,599.0,0.43832020997375326,AGUA VERI 5/1 CAJA 3U.,620-016-10
0RF0184,238.0,0.4304461942257218,SPRITE VR35 C24,620-017-10
0RF0208,601.0,0.42782152230971127,FANTA NAR PET50 C24 (SIN HC4),620-018-10
0RF0109,193.0,0.4199475065616798,/-BITTER KAS 200 SR 24U,620-019-10
0AG0001,3566.0,0.41732283464566927,AQUABONA PET1.5L C6 DECORADA,620-020-10
0RF0200,437.0,0.4015748031496063,"/-COCA COLA ZERO VR 23,7 24U",620-021-10
0AM1167,534.0,0.3937007874015748,MARINAS PATATAS OLIVA 47G  10U,620-022-10
0VE0503,489.0,0.3884514435695538,VINYA DEL JEP TINTO 75CL 6U,620-023-10
0ZU0133,398.0,0.38320209973753283,MINUTE MAID PIÑ VNR20 C24,620-024-10
0VE0463,510.0,0.3648293963254593,SOLAR DE ZUNIL TINTO 75CL 6U,620-025-10
0RF0185,299.0,0.35958005249343833,SPRITE LATA33 C24,620-026-10
0RF0041,287.0,0.3464566929133858,COCACOLA PET1L C12,620-027-10
0VE1410,253.0,0.3333333333333333,ALLUE CAVA BRUT NATURE 75CL 6U,620-028-10
0ZU0134,266.0,0.33070866141732286,MINUTE MAID MEL VNR20 C24,620-029-10
0RF0004,214.0,0.30708661417322836,"GEISER SIFON  1,5 L. 6U",620-030-10
0RF0020,156.0,0.30446194225721784,/-FANTA NARANJA LATA 33CL 24U,620-031-10
0RF1648,658.0,0.29396325459317585,FUZE LIM PET1.5L C6,620-032-10
0VE0973,246.0,0.29133858267716534,FINCA LOS TRENZONES VERDEJO 75CL 6U,620-033-10
0RF0052,410.0,0.28608923884514437,FANTA LIM PET50 C24 (SIN HC4),620-034-10
0RF0120,236.0,0.28608923884514437,AQUARIUS NAR LATA33 C24,620-035-10
0RF0211,346.0,0.28083989501312334,MONSTER ENERGY LATA50 C24,620-036-10
0AG0050,627.0,0.2782152230971129,FONT DEL REGAS NATURAL 8L GARRAFA 2U,620-037-10
0ZU0026,234.0,0.27296587926509186,GRANINI MANZANA  20CL 24U,620-038-10
0ZU0135,158.0,0.27296587926509186,MINUTE MAID NAR VNR20 C24,620-039-10
0ZU0013,207.0,0.27034120734908135,GRANINI PIÑA 1L PET 6U,620-041-10
0RF0230,426.0,0.2650918635170604,RBLISS SIG TON WTR VR20 C24,620-040-10
NTL32SP6,6543.0,0.25984251968503935,NESTEA LIMON 3/2 SR PET 6U.,620-042-10
0RF0062,437.0,0.25984251968503935,POWERADE ICE STORM PET50 C12,660-001-10
0AM4158,570.0,0.2572178477690289,SABOR DEL SUR ACEITE VIRGEN EXTRA 5L,660-002-10
0RF0138,401.0,0.2545931758530184,COCACOLA ZER PET2L C6,660-003-10
0RF0058,273.0,0.2545931758530184,AQUARIUS NAR PET50 C24,660-004-10
0RF0110,231.0,0.25196850393700787,AQUARIUS PET1.5L C6,660-005-10
0RF0141,482.0,0.24934383202099739,COCACOLA ZER ZER LATA33 C24,660-006-10
0RF0183,338.0,0.24671916010498687,SPRITE PET50 C24,660-007-10
0VE0507,196.0,0.24671916010498687,HALLAZGO CRIANZA 75CL 6U,660-008-10
0ZU0010,204.0,0.2440944881889764,GRANINI NARANJA 1L PET 6U,660-009-10
0AG0018,2575.0,0.2388451443569554,AQUABONA PET35 C24,660-010-10
0RF0119,634.0,0.2388451443569554,COCACOLA ZER LATA33 C24,660-011-10
0AG0060,202.0,0.2388451443569554,SAN PELLEGRINO GAS 1/4 SR 24U,660-012-10
UE902CATN,9378.0,0.23622047244094488,COPA 33 CL ED CAT,660-013-10
0AG0067,256.0,0.23622047244094488,SAN PELLEGRINO GAS 1/2 SR 24U,660-014-10
AK13SR,183.0,0.2283464566929134,AK DAMM 1/3 SIN RETORNO,660-015-10
0AG0085,169.0,0.2283464566929134,SAN PELLEGRINO GAS 1/2 PET 24U,660-016-10
0LT0102,145.0,0.2283464566929134,YOSOY AVENA 1L BRIK 6U,660-017-10
0RF0243,322.0,0.22572178477690288,MONSTER ULTR WHI ZER LATA50 C24,660-018-10
0VE0504,164.0,0.2230971128608924,VINYA DEL JEP BLANCO 75CL 6U,660-019-10
0RF0197,354.0,0.2204724409448819,COCACOLA ZER ZER VR237 C24,660-020-10
FTG15B24,210.0,0.2204724409448819,FEVERTREE GINGER ALE 1/5 BJ-24U.,660-021-10
0AG0022,611.0,0.2178477690288714,VICHY 1881 GAS 1/3 RET 20U,660-022-10
0RF0313,162.0,0.2152230971128609,MONSTER MANGO LOCO LATA50 C24,660-023-10
0AM1282,249.0,0.2125984251968504,BARGALLO OLI GIRASOL 5L,660-024-10
0AG0092,436.0,0.2099737532808399,MALAVELLA AGUA CON GAS 30CL RET 24U,660-025-10
0VE0106,194.0,0.2099737532808399,PORTIA ROBLE 75CL 6U,660-027-10
0RF0136,144.0,0.2099737532808399,COCACOLA ZER PET1L C12,660-029-10
0RF0111,229.0,0.2073490813648294,AQUARIUS NAR PET1.5L C6,660-030-10
0RF0339,348.0,0.2020997375328084,NORDIC MIST TON VNR20 C24,660-031-10
0VE0092,242.0,0.2020997375328084,FORTIUS TINTO TEMPRANILLO 75CL  6U,660-032-10
0RF0021,89.0,0.2020997375328084,/-FANTA LIMON LATA 33 CL 24U,660-033-10
FTS15B24,221.0,0.1994750656167979,FEVERTREE SODA WATER 1/5 BANDEJA 24U.,660-034-10
0RF0172,131.0,0.1994750656167979,FANTA NAR PET2L C6,660-035-10
FD14P6,187.0,0.1968503937007874,FREE DAMM 1/4 PACK 6U.,660-036-10
0RF0228,443.0,0.1889763779527559,RBLISS TON WTR VR20 C24,660-038-10
0RF0478,329.0,0.1889763779527559,COCACOLA ZER BIB10L,660-039-10
0AG0017,430.0,0.1837270341207349,AQUABONA VR50 C20,660-040-10
0RF0113,119.0,0.1837270341207349,FANTA NAR LATA33 C24,660-041-10
GCN1KB6,711.0,0.18110236220472442,GARRIGA CREME NATURAL BOLSA 1KG,660-042-10
0RF1669,370.0,0.1784776902887139,FUZE GTM PET1.5L C6,660-043-10
VO13P6,202.0,0.17585301837270342,VOLL DAMM 1/3 SR PACK CESTA ABIERTA 6U.,680-002-10
OL20,170.0,0.17585301837270342,ORO BARRIL 20L. RET,680-004-10
0LT0100,86.0,0.17585301837270342,YOSOY SOJA 1L BRIK 6U,680-006-10
0VE0465,173.0,0.1732283464566929,SOLAR DE ZUNIL BLANCO 75CL 6U,680-008-10
0AM1281,258.0,0.17060367454068243,BARGALLO OLIVA SANSA SUAVE 5L,680-010-10
0RF0038,104.0,0.1679790026246719,SPRITE PET2L C6,680-012-10
0VE0543,233.0,0.16535433070866143,IRREVERENTE TINTO ROBLE 75CL 6U,680-014-10
0RF0014,129.0,0.16272965879265092,ZALA GASEOSA 50CL VID. RET 20U,680-015-10
0LT0021,262.0,0.16010498687664043,CACAOLAT MINIBRIK SLIM 20CL P6 24U,680-016-10
0VE0625,119.0,0.16010498687664043,CONDESA LEGANZA BLANCO VERDEJO  75CL 6U,680-017-10
EDI13P6,116.0,0.15748031496062992,INEDIT DAMM 1/3 SR CESTA ABIERTA 2X3,680-018-10
0RF1650,95.0,0.15748031496062992,FUZE GTM VR30 C24,680-019-10
0RF0233,421.0,0.15485564304461943,RBLISS LEM MIX VR20 C24 HT,680-020-10
0AM1278,153.0,0.15485564304461943,BARGALLO ACEITE VIRGEN EXTRA 5L,680-021-10
0VE0198,109.0,0.15485564304461943,MONTERIO TINTO S.R. 75CL 12U,680-022-10
0AM1276,226.0,0.15223097112860892,BARGALLO ACEITE OLIVA SUAVE 5L,680-023-10
GD500B6,156.0,0.15223097112860892,GARRIGA DESCAFEINADO 500G BOLSA 6U,680-024-10
0AM1285,120.0,0.15223097112860892,BARGALLO RUGIN ACEITE FREIR A.OLEICO 25L,680-025-10
0AG0181,243.0,0.14960629921259844,FONT D.OR NATURAL 30CL RET 24U,680-026-10
0AM1280,197.0,0.14960629921259844,BARGALLO ACEITE DE ORUJO EXTRA 5L,680-027-10
0RF0482,136.0,0.14960629921259844,TRINA NARANJA SLEEK 33CL 24U,680-028-10
FTZ15B24,92.0,0.14960629921259844,FEVERTREE SICILIAN LEMONADE 1/5 BJ-24U.,680-029-10
0RF1644,335.0,0.14698162729658792,FUZE LSA BIB5L,680-030-10
0RF0189,142.0,0.14698162729658792,COCACOLA ZZ PET50 C24 (SIN HC4) PINCODE,680-031-10
DL13SR,140.0,0.14698162729658792,DAMM LEMON 1/3 SR CAJA 24U.,680-033-10
0VE0531,144.0,0.14435695538057744,PRIOR  BLANCO VERDEJO 75CL 6U,680-034-10
VE32P6,577.0,0.14173228346456693,"AGUA VERI 1,5L PET PACK 6U.",680-035-10
0AG0053,388.0,0.14173228346456693,AQUABONA SINGULAR PET50 C12,680-036-10
0RF0043,95.0,0.14173228346456693,FANTA LIM PET1L C12,680-037-10
0ZU0031,65.0,0.14173228346456693,JUVER NECTAR MELOCOTON 20CL 24U,680-038-10
0VE2133,296.0,0.13910761154855644,MONTERIO TINTO ROSCA 75CL 6U,680-039-10
0RF0012,246.0,0.13910761154855644,FUENTPINOS GASEOSA  500 PET 12U,680-041-10
0ZU0009,76.0,0.13910761154855644,GRANINI MELOCOTON 1L PET 6U,680-040-10
0ZU0142,229.0,0.13648293963254593,MINUTE MAID MAN VNR20 C24,680-042-10
0VE0643,139.0,0.13648293963254593,RIGOL CAVA BRUT NATURE 75CL 6U,680-043-10
0RF0213,255.0,0.13385826771653545,MONSTER ENERGY LATA25 C24,600-050-10
DL13LT,91.0,0.13385826771653545,DAMM LEMON 1/3 LATA LC,600-051-10
0VE0025,138.0,0.13123359580052493,CASTELL D´ORDAL BRUT 75CL 6U,600-052-10
0RF1594,154.0,0.12860892388451445,AQUARIUS MEL ROJO PET1.5L C6,600-053-10
0RF0422,127.0,0.12860892388451445,COCA COLA BIB20L,600-054-10
0ZU0032,64.0,0.12860892388451445,JUVER NECTAR PIÑA 20CL 24U,600-055-10
0VE3263,715.0,0.12598425196850394,IRREVERENTE VERMUT RESERVA 1L 1U,600-056-10
0RF0237,139.0,0.12598425196850394,RBLISS GINGER ALE VNR20 C24,600-057-10
GSS1KB6,510.0,0.12335958005249344,GARRIGA S.SUPERIOR NATURAL BOLSA 1KG,600-058-10
0RF1350,256.0,0.12073490813648294,SPRITE S/A BIB5L,600-059-10
FTM15B24,120.0,0.11811023622047244,FEVERTREE MEDITERRANEAN TONIC 1/5 B-24U.,600-060-10
0RF0221,356.0,0.11548556430446194,COCACOLA VNR20 C24,600-061-10
FDT13LT,84.0,0.11548556430446194,FREE DAMM TOSTADA 1/3 LATA LC,600-062-10
0RF0428,150.0,0.11286089238845144,FANTA LIM ZERO BIB 5L,600-063-10
0RF0431,105.0,0.11286089238845144,FANTA NAR ZER BIB10L (IN),600-064-10
0LT0030,58.0,0.11286089238845144,LETONA DESNATADA 0% 1L VR 12U,600-065-10
0VE0533,120.0,0.11023622047244094,PRIOR TINTO TEMPRANILLO 75CL 6U,600-066-10
0CF0058,77.0,0.11023622047244094,XPLICIT DESCAFEINADO 500GR,600-067-10
0RF0253,426.0,0.10761154855643044,COCACOLA ZER VNR20 C24,600-068-10
0RF0096,157.0,0.10761154855643044,POWERADE BLOOD OR PET50 C12,600-069-10
0RF0042,103.0,0.10761154855643044,FANTA NAR PET1L C12,600-070-10
0RF0525,102.0,0.10761154855643044,RBLISS GBEER VNR20 C24,600-071-10
0AG0039,737.0,0.10498687664041995,"FONT D.OR NATURAL 1,5L PET 6U",600-072-10
0RF0214,189.0,0.10236220472440945,MONSTER AB. ZERO LATA50 C24,600-073-10
0RF1610,188.0,0.10236220472440945,FUZE TEA PEACH HIBISCUS PET50 C24,600-074-10
0RF0055,187.0,0.10236220472440945,NORDIC MIST TON LATA25 C24 ES0,600-076-10
0RF1647,138.0,0.10236220472440945,FUZE LSA PET1.5L C6,600-077-10
0LT0020,269.0,0.09711286089238845,CACAOLAT ORIGINAL 1L PET 6U,600-078-10
0AG0009,378.0,0.09448818897637795,VICHY CATALAN GAS 1L SR 12U,600-079-10
